,tipo_titulo,codigo_selic,index,tipo_correcao,data_validade,vna,data_referencia
3,LFT,210100,11.65,O,2022-03-24,11485.030339,2022-03-25
0,NTN-B,760199,1.28,P,2022-03-28,3868.557182,2022-03-28
1,NTN-B,760100,1.28,P,2022-03-28,3868.557182,2022-03-28
2,NTN-C,770100,1.38,P,2022-03-21,6282.72339,2022-03-28
3,LFT,210100,11.65,O,2022-03-25,11490.053776,2022-03-28
0,NTN-B,760199,1.28,P,2022-03-28,3870.697048,2022-03-29
1,NTN-B,760100,1.28,P,2022-03-28,3870.697048,2022-03-29
2,NTN-C,770100,1.38,P,2022-03-21,6286.638645,2022-03-29
3,LFT,210100,11.65,O,2022-03-28,11495.079411,2022-03-29
0,NTN-B,760100,1.28,P,2022-03-28,3872.838097,2022-03-30
1,NTN-B,760199,1.28,P,2022-03-28,3872.838097,2022-03-30
2,NTN-C,770100,1.74,F,2022-03-30,6310.905055,2022-03-30
3,LFT,210100,11.65,O,2022-03-29,11500.107243,2022-03-30
0,NTN-B,760100,1.28,P,2022-03-28,3874.98033,2022-03-31
1,NTN-B,760199,1.28,P,2022-03-28,3874.98033,2022-03-31
2,NTN-C,770100,1.74,F,2022-03-30,6315.85767,2022-03-31
3,LFT,210100,11.65,O,2022-03-30,11505.137275,2022-03-31
0,NTN-B,760100,1.28,P,2022-03-28,3877.123748,2022-04-01
1,NTN-B,760199,1.28,P,2022-03-28,3877.123748,2022-04-01
2,NTN-C,770100,1.74,F,2022-03-30,6320.814171,2022-04-01
3,LFT,210100,11.65,O,2022-03-31,11510.169507,2022-04-01
0,NTN-B,760199,1.28,P,2022-03-28,3879.268352,2022-04-04
1,NTN-B,760100,1.28,P,2022-03-28,3879.268352,2022-04-04
2,NTN-C,770100,1.51,P,2022-04-04,6325.801972,2022-04-04
3,LFT,210100,11.65,O,2022-04-01,11515.20394,2022-04-04
0,NTN-B,760100,1.28,P,2022-03-28,3881.414143,2022-04-05
1,NTN-B,760199,1.28,P,2022-03-28,3881.414143,2022-04-05
2,NTN-C,770100,1.51,P,2022-04-04,6330.79371,2022-04-05
3,LFT,210100,11.65,O,2022-04-04,11520.240575,2022-04-05
0,NTN-B,760100,1.28,P,2022-03-28,3883.56112,2022-04-06
1,NTN-B,760199,1.28,P,2022-03-28,3883.56112,2022-04-06
2,NTN-C,770100,1.51,P,2022-04-04,6335.789387,2022-04-06
3,LFT,210100,11.65,O,2022-04-05,11525.279413,2022-04-06
0,NTN-B,760100,1.28,P,2022-03-28,3885.709285,2022-04-07
1,NTN-B,760199,1.28,P,2022-03-28,3885.709285,2022-04-07
2,NTN-C,770100,1.51,P,2022-04-04,6340.789006,2022-04-07
3,LFT,210100,11.65,O,2022-04-06,11530.320455,2022-04-07
0,NTN-B,760100,1.62,F,2022-04-08,3898.07076,2022-04-08
1,NTN-B,760199,1.62,F,2022-04-08,3898.07076,2022-04-08
2,NTN-C,770100,1.51,P,2022-04-04,6345.79257,2022-04-08
3,LFT,210100,11.65,O,2022-04-07,11535.363702,2022-04-08
0,NTN-B,760100,1.62,F,2022-04-08,3900.795391,2022-04-11
1,NTN-B,760199,1.62,F,2022-04-08,3900.795391,2022-04-11
2,NTN-C,770100,1.26,P,2022-04-11,6345.856707,2022-04-11
3,LFT,210100,11.65,O,2022-04-08,11540.409155,2022-04-11
0,NTN-B,760100,1.62,F,2022-04-08,3903.521926,2022-04-12
1,NTN-B,760199,1.62,F,2022-04-08,3903.521926,2022-04-12
2,NTN-C,770100,1.26,P,2022-04-11,6350.040099,2022-04-12
3,LFT,210100,11.65,O,2022-04-11,11545.456814,2022-04-12
